animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A738268,2016-11-14,2015-07-14,Intact Female,12.0,A738268-1,2016-11-11,3903 S Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Rottweiler Mix,Black/Tan,3,0,1
A738268,2016-11-20,2015-07-14,Spayed Female,12.0,A738268-2,2016-11-19,4700 S Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Rottweiler Mix,Black/Tan,1,1,1
A738268,2017-06-01,2015-07-14,Spayed Female,12.0,A738268-3,2017-06-01,Bitter Creek Dr And Rock Ridge in Austin (TX),Stray,Normal,Dog,Spayed Female,12.0,Rottweiler Mix,Black/Tan,0,0,1
A738268,2018-05-24,2015-07-14,Spayed Female,24.0,A738268-4,2017-06-06,4412 Bucks Run in Austin (TX),Stray,Injured,Dog,Spayed Female,12.0,Rottweiler Mix,Black/Tan,352,0,1
A738268,2018-08-07,2015-07-14,Spayed Female,36.0,A738268-5,2018-05-24,2206 Blue Meadow Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,24.0,Rottweiler Mix,Black/Tan,75,0,1
A738283,2016-11-20,2015-11-12,Spayed Female,12.0,A738283-1,2016-11-19,Vandever St And Sojourner St in Austin (TX),Stray,Normal,Dog,Spayed Female,12.0,Pit Bull Mix,Black Brindle/White,1,0,1
A738283,2017-01-20,2015-11-12,Spayed Female,12.0,A738283-2,2017-01-18,3107 Etheredge Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,12.0,Pit Bull Mix,Black Brindle/White,2,0,1
A738320,2017-05-28,2016-03-24,Intact Male,12.0,A738320-1,2017-05-27,Austin (TX),Stray,Normal,Dog,Intact Male,12.0,Basset Hound/Boxer,Tan,1,0,1
A738323,2016-11-13,2013-11-12,Intact Female,36.0,A738323-1,2016-11-12,10101 Old San Antonio Rd in Austin (TX),Stray,Normal,Dog,Intact Female,36.0,Pit Bull Mix,Blue/White,1,0,1
A738324,2016-11-13,2013-11-12,Intact Male,36.0,A738324-1,2016-11-12,10101 Old San Antonio Rd in Austin (TX),Stray,Normal,Dog,Intact Male,36.0,Pit Bull Mix,Black/White,1,0,1
A738324,2017-05-25,2013-11-12,Intact Male,36.0,A738324-2,2017-02-02,9900 Block Of Ih-35 Hwy in Austin (TX),Public Assist,Normal,Dog,Intact Male,36.0,Pit Bull Mix,Black/White,112,0,1
A738324,2017-06-13,2013-11-12,Neutered Male,36.0,A738324-3,2017-06-09,9600 S I H 35 in Austin (TX),Stray,Normal,Dog,Intact Male,36.0,Pit Bull Mix,Black/White,4,1,1
A738324,2017-11-21,2013-11-12,Neutered Male,48.0,A738324-5,2017-11-16,2300 Cesar Chavez in Austin (TX),Public Assist,Normal,Dog,Neutered Male,48.0,Pit Bull Mix,Black/White,5,0,1
A738324,2018-03-02,2013-11-12,Neutered Male,48.0,A738324-6,2018-02-28,Slaughter Ln And Chisolm Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,48.0,Pit Bull Mix,Black/White,2,0,1
A738327,2016-11-19,2015-11-12,Spayed Female,12.0,A738327-1,2016-11-12,St Elmo And South 1St in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,German Shepherd Mix,Brown/Black,7,1,1
A738334,2018-01-10,2015-11-13,Neutered Male,24.0,A738334-1,2017-12-31,Pflugerville (TX),Public Assist,Normal,Dog,Neutered Male,24.0,Labrador Retriever Mix,Black/White,10,0,1
A738335,2016-11-19,2014-11-13,Neutered Male,24.0,A738335-1,2016-11-13,6803 Blue Dawn Trl in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,24.0,Domestic Shorthair Mix,Brown Tabby,6,0,1
A738335,2016-12-09,2014-11-13,Neutered Male,24.0,A738335-2,2016-11-30,3201 Duval Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,24.0,Domestic Shorthair Mix,Brown Tabby,9,0,1
A738336,2016-11-18,2016-03-13,Neutered Male,8.0,A738336-1,2016-11-13,5800 Tracy Lynn Ln in Austin (TX),Stray,Normal,Dog,Intact Male,8.0,Labrador Retriever Mix,Black/White,5,1,1
A738336,2016-11-26,2016-03-13,Neutered Male,8.0,A738336-2,2016-11-25,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8.0,Labrador Retriever Mix,Black/White,1,0,1
A738352,2016-12-16,2016-02-27,Neutered Male,9.0,A738352-1,2016-11-13,1303 Mckie Dr in Austin (TX),Stray,Normal,Dog,Intact Male,8.0,Blue Lacy Mix,Blue/White,33,1,1
A738352,2019-03-23,2016-02-27,Neutered Male,36.0,A738352-2,2019-03-21,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,36.0,Blue Lacy Mix,Blue/White,2,0,1
A738352,2019-09-29,2016-02-27,Neutered Male,36.0,A738352-3,2019-09-11,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,36.0,Blue Lacy Mix,Blue/White,18,0,1
A738385,2016-11-15,2015-11-14,Intact Female,12.0,A738385-1,2016-11-14,2411 Lakehurst Dr in Austin (TX),Stray,Normal,Cat,Intact Female,12.0,Russian Blue,Blue,1,0,1
A738391,2016-12-26,2016-09-14,Spayed Female,3.0,A738391-1,2016-11-14,3007 Puebla in Del Valle (TX),Stray,Normal,Dog,Intact Female,1.0,Great Pyrenees/Plott Hound,White/Brown Brindle,42,1,1
A738395,2017-11-02,2015-11-14,Intact Male,12.0,A738395-1,2017-11-02,1800 Ohlen in Austin (TX),Stray,Normal,Dog,Intact Male,12.0,Chihuahua Shorthair Mix,Black/Tan,0,0,1
